_id,customer_id,service_type,priority_level,zones,order,analytics
O00002,C0459,Passenger,Low,"{'pickup': 'North', 'dropoff': 'Airport'}",{'order_value': 109.3},{'complaint_count': 0}
O00006,C0437,Retail,High,"{'pickup': 'Central', 'dropoff': 'East'}",{'order_value': 151.44},{'complaint_count': 0}
O00011,C0340,Parcel,Low,"{'pickup': 'West', 'dropoff': 'Central'}",{'order_value': 79.1},{'complaint_count': 1}
O00026,C0193,Parcel,High,"{'pickup': 'East', 'dropoff': 'West'}",{'order_value': 51.09},{'complaint_count': 0}
O00028,C0160,Retail,High,"{'pickup': 'North', 'dropoff': 'South'}",{'order_value': 59.44},{'complaint_count': 0}
O00034,C0023,Retail,Low,"{'pickup': 'North', 'dropoff': 'South'}",{'order_value': 40.88},{'complaint_count': 0}
O00037,C0015,Retail,Low,"{'pickup': 'East', 'dropoff': 'Airport'}",{'order_value': 119.31},{'complaint_count': 0}
O00040,C0014,Parcel,Low,"{'pickup': 'North', 'dropoff': 'Airport'}",{'order_value': 74.65},{'complaint_count': 0}
O00041,C0243,Retail,Low,"{'pickup': 'Riverside', 'dropoff': 'West'}",{'order_value': 19.15},{'complaint_count': 1}
O00046,C0538,Parcel,High,"{'pickup': 'North', 'dropoff': 'Central'}",{'order_value': 85.48},{'complaint_count': 0}
