"complaint_type","severity","delivery_status_group","complaint_count","avg_resolution_days","total_compensation"
"Delay","Medium","OnTime",25,6.16,431.21
"DriverBehaviour","Medium","OnTime",18,4.61,262.58
"MissedPickup","Medium","OnTime",18,7.44,321.64
"Delay","Low","OnTime",13,6.54,106.91
"Delay","Medium","",13,6,256.92
"Delay","Medium","Delayed",13,5.23,176.85
"AppIssue","Medium","OnTime",12,8.5,213
"Delay","Low","",11,7.36,96.34
"MissedPickup","High","",9,11.89,401.49
"SupportExperience","Medium","OnTime",9,7.11,148
"AppIssue","Low","OnTime",8,6.75,97.07
"AppIssue","Medium","",8,7,113.4
"DriverBehaviour","High","OnTime",8,12.63,239.84
"DriverBehaviour","Medium","",8,4.88,89.86
"MissedPickup","Medium","Delayed",7,4.29,123.58
"Delay","High","OnTime",6,12.33,216.62
"MissedPickup","Medium","",6,3.17,73.14
"MissedPickup","Medium","Failed",6,7.5,126.44
"AppIssue","High","OnTime",5,11.6,135
"AppIssue","Low","",5,4.4,80.21
